Transaction_ID,Selling_Price,Commission_Fee
1327,$28.00,$5.60 
1560,$50.00,$10.00 
1580,$36.00,$7.20 
1648,$45.00,$9.00 
1757,$40.00,$8.00 
1944,$15.00,$3.00 
2100,$32.00,$6.40 
2120,$18.00,$3.60 
2415,$45.00,$9.00 
2610,$56.00,$11.20 
2646,$57.00,$11.40 
2691,$59.00,$11.80 
3144,$40.00,$8.00 
3278,$6.00,$1.20 
3381,$21.00,$4.20 
3422,$22.00,$4.40 
3554,$50.00,$10.00 
3752,$40.00,$8.00 
3800,$52.00,$10.40 
3877,$42.00,$8.40 
4199,$43.00,$8.60 
4543,$75.00,$15.00 
4573,$27.00,$5.40 
4726,$19.00,$3.80 
4782,$37.00,$7.40 
4833,$39.00,$7.80 
4846,$22.00,$4.40 
4880,$21.00,$4.20 
4966,$18.00,$3.60 
5108,$30.00,$6.00 
5333,$50.00,$10.00 
5358,$12.00,$2.40 
5602,$39.00,$7.80 
5674,$50.00,$10.00 
6437,$40.00,$8.00 
6449,$66.00,$13.20 
6680,$20.00,$4.00 
7053,$46.00,$9.20 
7111,$46.00,$9.20 
7352,$25.00,$5.00 
7465,$76.00,$15.20 
7726,$55.00,$11.00 
8101,$46.00,$9.20 
8590,$35.00,$7.00 
8684,$55.00,$11.00 
8708,$35.00,$7.00 
8766,$15.00,$3.00 
8842,$17.00,$3.40 
9045,$6.00,$1.20 
9476,$31.00,$6.20 
